cutomer_id,age,gender,location,subscription,average_freq_purchases
1,55,Male,Kentucky,Yes,Fortnightly
2,19,Male,Maine,Yes,Fortnightly
3,50,Male,Massachusetts,Yes,Weekly
4,21,Male,Rhode Island,Yes,Weekly
5,45,Male,Oregon,Yes,Annually
6,46,Male,Wyoming,Yes,Weekly
7,63,Male,Montana,Yes,Quarterly
8,27,Male,Louisiana,Yes,Weekly
9,26,Male,West Virginia,Yes,Annually
10,57,Male,Missouri,Yes,Quarterly
11,53,Male,Arkansas,Yes,Fortnightly
12,30,Male,Hawaii,Yes,Fortnightly
13,61,Male,Delaware,Yes,Fortnightly
14,65,Male,New Hampshire,Yes,Weekly
15,64,Male,New York,Yes,Weekly
16,64,Male,Rhode Island,Yes,Monthly
17,25,Male,Alabama,Yes,Fortnightly
18,53,Male,Mississippi,Yes,Quarterly
19,52,Male,Montana,Yes,Weekly
20,66,Male,Rhode Island,Yes,Fortnightly
21,21,Male,Louisiana,Yes,Quarterly
22,31,Male,North Carolina,Yes,Quarterly
23,56,Male,California,Yes,Annually
24,31,Male,Oklahoma,Yes,Weekly
25,18,Male,Florida,Yes,Weekly
26,18,Male,Texas,Yes,Annually
27,38,Male,Nevada,Yes,Annually
28,56,Male,Kentucky,Yes,Quarterly
29,54,Male,North Carolina,Yes,Quarterly
30,31,Male,Wyoming,Yes,Weekly
31,57,Male,North Carolina,Yes,Monthly
32,33,Male,West Virginia,Yes,Monthly
33,36,Male,Kansas,Yes,Annually
34,54,Male,Colorado,Yes,Quarterly
35,36,Male,North Dakota,Yes,Quarterly
36,54,Male,Massachusetts,Yes,Fortnightly
37,35,Male,Illinois,Yes,Fortnightly
38,35,Male,Indiana,Yes,Weekly
39,29,Male,Florida,Yes,Quarterly
40,70,Male,Arizona,Yes,Monthly
41,69,Male,Louisiana,Yes,Quarterly
42,67,Male,Alaska,Yes,Annually
43,20,Male,Tennessee,Yes,Annually
44,25,Male,Ohio,Yes,Fortnightly
45,39,Male,Kentucky,Yes,Weekly
46,50,Male,Tennessee,Yes,Annually
47,57,Male,California,Yes,Quarterly
48,55,Male,Montana,Yes,Weekly
49,42,Male,Nevada,Yes,Monthly
50,68,Male,New Jersey,Yes,Fortnightly
51,49,Male,Maryland,Yes,Fortnightly
52,59,Male,Vermont,Yes,Quarterly
53,42,Male,Alaska,Yes,Weekly
54,29,Male,Mississippi,Yes,Weekly
55,47,Male,New Mexico,Yes,Fortnightly
56,40,Male,South Carolina,Yes,Annually
57,41,Male,Mississippi,Yes,Weekly
58,21,Male,West Virginia,Yes,Fortnightly
59,69,Male,Missouri,Yes,Monthly
60,63,Male,Louisiana,Yes,Weekly
61,50,Male,Idaho,Yes,Weekly
62,55,Male,Texas,Yes,Quarterly
63,30,Male,Mississippi,Yes,Fortnightly
64,33,Male,Arizona,Yes,Weekly
65,65,Male,Alabama,Yes,Fortnightly
66,65,Male,New Jersey,Yes,Quarterly
67,31,Male,Pennsylvania,Yes,Quarterly
68,45,Male,Connecticut,Yes,Monthly
69,57,Male,Utah,Yes,Quarterly
70,48,Male,Tennessee,Yes,Weekly
71,22,Male,Alabama,Yes,Quarterly
72,36,Male,Virginia,Yes,Annually
73,18,Male,Georgia,Yes,Quarterly
74,48,Male,Hawaii,Yes,Fortnightly
75,49,Male,Indiana,Yes,Monthly
76,64,Male,Utah,Yes,Annually
77,50,Male,Delaware,Yes,Monthly
78,22,Male,Delaware,Yes,Fortnightly
79,50,Male,Nebraska,Yes,Fortnightly
80,38,Male,Iowa,Yes,Quarterly
81,19,Male,New York,Yes,Quarterly
82,67,Male,Virginia,Yes,Quarterly
83,19,Male,Georgia,Yes,Quarterly
84,36,Male,Texas,Yes,Weekly
85,52,Male,Arizona,Yes,Quarterly
86,53,Male,New Mexico,Yes,Fortnightly
87,24,Male,Nevada,Yes,Fortnightly
88,52,Male,Ohio,Yes,Fortnightly
89,33,Male,Wyoming,Yes,Monthly
