cutomer_id,item_purchased,category,purchase_amount,size,color,review_rating,shipping_type,payment_method
1,Blouse,Clothing,53,L,Gray,3.1,Express,Venmo
2,Sweater,Clothing,64,L,Maroon,3.1,Express,Cash
3,Jeans,Clothing,73,S,Maroon,3.1,Free Shipping,Credit Card
4,Sandals,Footwear,90,M,Maroon,3.5,Next Day Air,PayPal
5,Blouse,Clothing,49,M,Turquoise,2.7,Free Shipping,PayPal
6,Sneakers,Footwear,20,M,White,2.9,Standard,Venmo
7,Shirt,Clothing,85,M,Gray,3.2,Free Shipping,Cash
8,Shorts,Clothing,34,L,Charcoal,3.2,Free Shipping,Credit Card
9,Coat,Outerwear,97,L,Silver,2.6,Express,Venmo
10,Handbag,Accessories,31,M,Pink,4.8,2-Day Shipping,Cash
11,Shoes,Footwear,34,L,Purple,4.1,Store Pickup,Bank Transfer
12,Shorts,Clothing,68,S,Olive,4.9,Store Pickup,Bank Transfer
13,Coat,Outerwear,72,M,Gold,4.5,Express,Venmo
14,Dress,Clothing,51,M,Violet,4.7,Express,PayPal
15,Coat,Outerwear,53,L,Teal,4.7,Free Shipping,Debit Card
16,Skirt,Clothing,81,M,Teal,2.8,Store Pickup,PayPal
17,Sunglasses,Accessories,36,S,Gray,4.1,Next Day Air,Debit Card
18,Dress,Clothing,38,XL,Lavender,4.7,2-Day Shipping,Venmo
19,Sweater,Clothing,48,S,Black,4.6,Free Shipping,Cash
20,Pants,Clothing,90,M,Green,3.3,Standard,Debit Card
21,Pants,Clothing,51,M,Black,2.8,Express,Cash
22,Pants,Clothing,62,M,Charcoal,4.1,Store Pickup,Debit Card
23,Pants,Clothing,37,M,Peach,3.2,Store Pickup,Debit Card
24,Pants,Clothing,88,XL,White,4.4,Express,Credit Card
25,Jacket,Outerwear,22,M,Green,2.9,Store Pickup,Debit Card
26,Hoodie,Clothing,25,M,Silver,3.6,Express,PayPal
27,Jewelry,Accessories,20,M,Red,3.6,Next Day Air,Credit Card
28,Shorts,Clothing,56,L,Cyan,5,Next Day Air,Bank Transfer
29,Handbag,Accessories,94,M,Gray,4.4,Free Shipping,PayPal
30,Dress,Clothing,48,S,Black,4.1,Store Pickup,Credit Card
31,Jewelry,Accessories,31,L,Black,4.7,Standard,Credit Card
32,Dress,Clothing,79,L,Brown,4.7,Store Pickup,Venmo
33,Jacket,Outerwear,67,M,Silver,4.9,Free Shipping,Venmo
34,Pants,Clothing,38,L,Green,3.3,Store Pickup,Cash
35,T-shirt,Clothing,91,L,Violet,4.6,2-Day Shipping,PayPal
36,Blouse,Clothing,33,M,Cyan,4,2-Day Shipping,Credit Card
37,T-shirt,Clothing,69,M,Maroon,4.6,Free Shipping,PayPal
38,Jeans,Clothing,45,S,Cyan,2.8,Store Pickup,PayPal
39,Dress,Clothing,37,M,Red,3.7,2-Day Shipping,Venmo
40,Pants,Clothing,60,S,Turquoise,4.2,Express,Credit Card
41,Handbag,Accessories,76,L,Beige,4.6,Next Day Air,Debit Card
42,Scarf,Accessories,39,M,Orange,4.5,Standard,Venmo
43,Coat,Outerwear,100,M,Beige,4.1,Free Shipping,PayPal
44,Scarf,Accessories,69,L,Lavender,3.7,Store Pickup,PayPal
45,Hat,Accessories,53,S,Silver,4.6,Free Shipping,PayPal
46,Socks,Clothing,21,XL,Indigo,2.9,2-Day Shipping,PayPal
47,Shirt,Clothing,43,L,White,2.9,Store Pickup,Cash
48,Jewelry,Accessories,54,M,Charcoal,4.5,Free Shipping,Cash
49,Shirt,Clothing,55,M,Orange,2.7,Store Pickup,Cash
50,Hoodie,Clothing,30,S,Indigo,4.6,Next Day Air,Debit Card
51,Blouse,Clothing,28,M,Red,3.7,Store Pickup,Debit Card
52,Skirt,Clothing,59,XL,Gray,4.7,2-Day Shipping,Credit Card
53,T-shirt,Clothing,20,M,Green,2.6,Free Shipping,Credit Card
54,Skirt,Clothing,24,S,Peach,3.9,Next Day Air,Credit Card
55,Coat,Outerwear,94,M,Brown,4.2,Next Day Air,Debit Card
56,Jacket,Outerwear,28,M,Lavender,3,2-Day Shipping,Credit Card
57,Backpack,Accessories,73,XL,Brown,4.7,Store Pickup,Credit Card
58,Coat,Outerwear,64,M,White,4.4,Store Pickup,Debit Card
59,Hoodie,Clothing,54,M,Charcoal,4.2,Free Shipping,Venmo
60,Belt,Accessories,79,L,Yellow,4.6,Standard,Debit Card
61,Sweater,Clothing,37,L,Brown,4,Express,Cash
62,Scarf,Accessories,68,M,Orange,4.7,Store Pickup,Credit Card
63,Sneakers,Footwear,21,S,Magenta,3.8,Free Shipping,Credit Card
64,Sunglasses,Accessories,79,L,Lavender,2.7,2-Day Shipping,Credit Card
65,Boots,Footwear,83,S,Green,4.8,Standard,Debit Card
66,Backpack,Accessories,36,M,Purple,4.8,2-Day Shipping,Venmo
67,Blouse,Clothing,94,S,Magenta,4.7,2-Day Shipping,Venmo
68,Coat,Outerwear,33,L,Gray,4.4,Store Pickup,Debit Card
69,Handbag,Accessories,46,L,Silver,3.9,Next Day Air,Cash
70,Belt,Accessories,70,S,Cyan,4.4,Express,Cash
71,Belt,Accessories,29,M,Magenta,4.2,Express,Debit Card
72,Dress,Clothing,48,L,Gold,2.9,Express,Bank Transfer
73,Dress,Clothing,26,M,Olive,2.9,Store Pickup,Bank Transfer
74,Pants,Clothing,85,M,Teal,2.7,Free Shipping,Bank Transfer
75,Gloves,Accessories,58,L,Violet,4.5,Express,Cash
76,Scarf,Accessories,85,M,Blue,2.7,Free Shipping,Credit Card
77,Hat,Accessories,43,S,Teal,4.2,Free Shipping,Venmo
78,Dress,Clothing,53,L,Gold,3.3,Next Day Air,Debit Card
79,Skirt,Clothing,91,M,Maroon,4.7,Free Shipping,Venmo
80,Jacket,Outerwear,96,M,Olive,2.6,2-Day Shipping,Bank Transfer
81,Sandals,Footwear,72,XL,Blue,3.3,Store Pickup,Credit Card
82,Shoes,Footwear,96,L,Maroon,2.6,Express,Credit Card
83,Pants,Clothing,28,S,Olive,4,2-Day Shipping,Credit Card
84,Dress,Clothing,40,M,Turquoise,4.1,Standard,Bank Transfer
85,Coat,Outerwear,32,S,Peach,4.4,Standard,Bank Transfer
86,Sunglasses,Accessories,95,M,Charcoal,4.5,Next Day Air,Debit Card
87,Hoodie,Clothing,41,L,Pink,3.7,2-Day Shipping,Cash
88,Shoes,Footwear,53,M,Green,3.7,2-Day Shipping,Debit Card
89,T-shirt,Clothing,47,M,Orange,3.5,Free Shipping,Credit Card
90,Jacket,Outerwear,83,XL,Pink,3.6,Next Day Air,Cash
91,Hat,Accessories,48,L,Violet,2.9,Express,Credit Card
92,Scarf,Accessories,99,S,Green,4.6,Standard,Credit Card
93,Jacket,Outerwear,87,M,Olive,4.4,2-Day Shipping,Venmo
94,Sweater,Clothing,62,M,Purple,4.5,Standard,Credit Card
95,Skirt,Clothing,76,S,Silver,4.6,Free Shipping,Credit Card
96,Sneakers,Footwear,100,L,Pink,3.8,Free Shipping,PayPal
97,Gloves,Accessories,73,S,Gold,3.6,Express,Venmo
98,Shoes,Footwear,92,M,Teal,4.8,Store Pickup,Cash
99,Jeans,Clothing,67,XL,Teal,2.6,Next Day Air,Bank Transfer
100,Hoodie,Clothing,40,XL,Indigo,3.7,Express,Debit Card
101,Sunglasses,Accessories,98,M,Maroon,2.7,Express,Cash
102,Coat,Outerwear,85,XL,White,4.6,Express,Credit Card
103,Socks,Clothing,67,L,Violet,4.8,Next Day Air,Credit Card
104,Boots,Footwear,89,L,Red,4,Next Day Air,Venmo
105,Sunglasses,Accessories,24,L,Pink,4.4,2-Day Shipping,PayPal
106,Backpack,Accessories,96,M,Charcoal,3.6,Next Day Air,Bank Transfer
107,Jacket,Outerwear,35,L,White,3.7,Standard,Credit Card
108,Sneakers,Footwear,67,L,Olive,3.1,Next Day Air,PayPal
109,Socks,Clothing,79,L,Purple,3.4,Next Day Air,Bank Transfer
110,T-shirt,Clothing,85,M,Violet,2.6,Next Day Air,Bank Transfer
111,Backpack,Accessories,26,M,Black,4,Standard,Venmo
112,Belt,Accessories,75,L,Purple,5,Free Shipping,Credit Card
113,Gloves,Accessories,65,M,Red,4.3,Free Shipping,PayPal
114,Hat,Accessories,54,L,Maroon,3.1,Next Day Air,PayPal
115,Coat,Outerwear,95,S,Blue,3.7,Store Pickup,Cash
116,Skirt,Clothing,94,M,Gray,3.8,Standard,Debit Card
117,Shoes,Footwear,86,S,Blue,3.4,Free Shipping,Venmo
118,Sandals,Footwear,32,L,Yellow,4.6,Express,Cash
119,Sweater,Clothing,45,L,Orange,4.8,2-Day Shipping,Cash
120,Coat,Outerwear,76,M,Orange,4.3,Express,Cash
121,Hat,Accessories,84,L,Red,4,Express,Bank Transfer
122,Shorts,Clothing,72,M,Olive,4.2,Standard,Cash
123,Backpack,Accessories,40,L,Brown,4.8,2-Day Shipping,Cash
124,Sweater,Clothing,89,L,Brown,3.1,Free Shipping,Cash
125,Sweater,Clothing,86,M,Gray,3.1,Next Day Air,PayPal
126,Shorts,Clothing,54,M,Indigo,3.6,Next Day Air,Venmo
127,Shorts,Clothing,36,L,Pink,3.9,Store Pickup,Cash
128,Sweater,Clothing,89,M,Gray,4.8,Next Day Air,Credit Card
129,Scarf,Accessories,32,M,Gold,4.7,Standard,Credit Card
130,Dress,Clothing,67,XL,Olive,4.2,2-Day Shipping,PayPal
131,Scarf,Accessories,39,L,Violet,3.7,Next Day Air,PayPal
132,Skirt,Clothing,29,L,Indigo,3.9,Standard,Credit Card
133,Backpack,Accessories,58,M,Orange,4.7,2-Day Shipping,PayPal
134,Sweater,Clothing,65,M,Violet,2.5,Next Day Air,Venmo
135,Hat,Accessories,94,L,Gray,4.9,Store Pickup,Cash
136,Sandals,Footwear,81,M,Purple,4.1,Express,PayPal
137,Blouse,Clothing,86,M,White,3.3,Free Shipping,Debit Card
138,Sneakers,Footwear,43,M,Turquoise,4.7,Free Shipping,PayPal
139,Skirt,Clothing,29,M,Maroon,4.4,Store Pickup,Bank Transfer
140,Coat,Outerwear,95,M,White,3.8,Store Pickup,Venmo
141,Shirt,Clothing,28,L,Yellow,3.9,2-Day Shipping,Credit Card
142,Gloves,Accessories,46,M,Turquoise,4.9,Free Shipping,PayPal
143,Jacket,Outerwear,58,L,Violet,3.1,Free Shipping,Credit Card
144,Coat,Outerwear,48,M,Beige,2.7,Store Pickup,PayPal
145,Shoes,Footwear,43,M,Silver,3.2,Express,Cash
146,Jewelry,Accessories,95,M,Teal,4.5,Standard,Debit Card
147,Skirt,Clothing,30,S,Black,4,Standard,Venmo
148,Shoes,Footwear,64,M,Purple,3.5,2-Day Shipping,Bank Transfer
149,Gloves,Accessories,90,M,Gray,2.6,Store Pickup,Debit Card
150,Pants,Clothing,76,M,White,3.2,Free Shipping,PayPal
151,Boots,Footwear,96,L,Cyan,4.9,Standard,Debit Card
152,Sunglasses,Accessories,47,L,Turquoise,4.5,Next Day Air,Venmo
153,Shirt,Clothing,85,S,Brown,4.3,Express,Venmo
154,Hoodie,Clothing,55,M,Maroon,3.2,Standard,Debit Card
155,Dress,Clothing,98,M,Charcoal,3.6,Next Day Air,Venmo
156,Socks,Clothing,77,S,Olive,4.3,Free Shipping,Bank Transfer
157,Shorts,Clothing,26,M,Lavender,4,Standard,Debit Card
158,Hat,Accessories,68,S,Yellow,3,Next Day Air,Bank Transfer
159,Shirt,Clothing,73,XL,Teal,4.1,Standard,Bank Transfer
160,Gloves,Accessories,27,M,Charcoal,3.8,Store Pickup,Bank Transfer
161,Gloves,Accessories,23,M,Orange,4.6,Free Shipping,Venmo
162,Backpack,Accessories,49,M,Olive,3,Express,Venmo
163,Sunglasses,Accessories,74,M,Turquoise,3,Store Pickup,PayPal
164,Skirt,Clothing,67,M,Purple,3.4,Standard,Debit Card
165,Handbag,Accessories,65,S,Purple,2.6,Free Shipping,Credit Card
166,Handbag,Accessories,60,S,Yellow,2.8,Store Pickup,Cash
167,Sneakers,Footwear,31,XL,Indigo,4,Store Pickup,Cash
168,Gloves,Accessories,27,M,Green,4,Express,Credit Card
169,Shoes,Footwear,80,M,Magenta,3,Express,Cash
170,Jacket,Outerwear,30,S,Gold,3.3,Standard,PayPal
171,Shirt,Clothing,25,M,Maroon,2.6,Store Pickup,Venmo
172,Shorts,Clothing,35,M,Blue,3.6,Store Pickup,Credit Card
173,Jewelry,Accessories,67,M,Violet,3.9,Next Day Air,Credit Card
174,Hat,Accessories,46,M,Turquoise,3.4,Standard,Cash
175,Shoes,Footwear,35,L,Brown,3.5,Express,Venmo
176,Coat,Outerwear,86,L,Violet,2.8,Next Day Air,Bank Transfer
177,Backpack,Accessories,81,L,Black,2.7,Next Day Air,Credit Card
178,Hoodie,Clothing,42,L,Magenta,3.7,Next Day Air,Bank Transfer
179,Skirt,Clothing,43,L,Lavender,4.3,2-Day Shipping,PayPal
180,Boots,Footwear,31,M,Violet,4.9,Store Pickup,Bank Transfer
181,Sandals,Footwear,81,L,Green,3.3,Store Pickup,Debit Card
182,Pants,Clothing,61,M,Beige,4.7,Next Day Air,Bank Transfer
183,Gloves,Accessories,96,XL,Purple,2.8,Store Pickup,Debit Card
184,Skirt,Clothing,29,XL,Beige,3.6,2-Day Shipping,Credit Card
185,Sneakers,Footwear,33,L,Cyan,3,Express,Cash
186,T-shirt,Clothing,32,XL,Silver,4.5,Store Pickup,Bank Transfer
187,Backpack,Accessories,56,S,Lavender,2.9,Standard,Debit Card
